index,AreaKey,mean_neighbor_distance,max_neighbor_distance,queen_degree
0,13001,0.4319024164986573,0.7330837732631382,6
1,13003,0.25689903863095054,0.450165812078134,5
2,13005,0.3033710677569216,0.4284567948972107,5
3,13007,0.2656814743857682,0.44387843575427366,6
4,13009,0.36843079878751006,0.47508107749068706,5
5,13011,0.17838926642809397,0.3542250117101496,6
6,13013,0.24340849902731124,0.41215820146482046,6
7,13015,0.13232747268564998,0.18963616321449625,7
8,13017,0.3281526900645681,0.5762086044307295,5
9,13019,0.27306917892292387,0.3967834076665135,7
10,13021,0.6932172382914948,1.7522709692092548,6
11,13023,1.0621323648845016,2.0679260103024295,6
12,13025,0.23219908612737541,0.3327856826444543,6
13,13027,0.21790932965860993,0.3018069646847674,4
14,13029,0.48679346648008004,0.9493857480693647,5
15,13031,0.7859012330504823,1.372115588620191,7
16,13033,0.920535586896926,1.2605773682983064,5
17,13035,0.2796935804886161,0.4856412393513858,6
18,13037,0.3530122437871779,0.5001847445606808,6
19,13039,0.23374303266473226,0.29442845035062853,3
20,13043,0.7030539461616837,0.9441719955196898,5
21,13045,0.20524224108609865,0.30745066514035796,6
22,13047,0.04892665242983283,0.051107379258310076,2
23,13049,0.22123847362391982,0.29442845035062853,3
24,13051,0.43094997343758673,0.699985837368818,2
25,13053,0.5959215604293195,1.2349298687847514,4
26,13055,0.04496571618581502,0.04578842286871836,2
27,13057,0.15757049569360507,0.25173129947521994,7
28,13059,0.21739351641017493,0.338154676746256,5
29,13061,0.35278221129849296,0.47382757210566223,4
30,13063,0.24145147194545294,0.42422481343906804,5
31,13065,0.21981471024256233,0.3091820835694902,4
32,13067,0.1479271394227837,0.18963616321449625,5
33,13069,0.42295647034103967,0.5762086044307295,8
34,13071,0.22440874090531363,0.3018069646847674,6
35,13073,0.22749226257535557,0.35184226627485266,3
36,13075,0.21696155746485019,0.32169033669948033,5
37,13077,0.3145050701300514,0.5752337568694255,7
38,13079,0.5446569253508783,1.1576867496643228,6
39,13081,0.583925975689071,0.9183207411844243,6
40,13083,0.05972153098756571,0.05972153098756571,1
41,13085,0.14879305381866198,0.21578925528508133,7
42,13087,0.21981927741026458,0.2956563887858585,5
43,13089,0.21824130728323543,0.4028388111031682,5
44,13091,0.726356942658954,1.2098159778194417,6
45,13093,0.7519882936974329,1.123161458177044,6
46,13095,0.38359051286471785,0.6736991347913233,6
47,13097,0.14690944484413082,0.1772641440946035,4
48,13099,0.32689294809830666,0.4284877161668781,5
49,13101,0.2080038399825963,0.2787138652709661,3
50,13103,0.7405535993744852,1.2458156609534803,4
51,13105,0.34265565158894995,0.5344923821576981,5
52,13107,1.1375214442538892,1.959037097376715,11
53,13109,0.5182397103779582,0.7532165096372947,5
54,13111,0.14540548036214307,0.20228056430183877,5
55,13113,0.23834854553458007,0.4144422409722175,4
56,13115,0.09296576831411218,0.14623627009208476,5
57,13117,0.1606679876025133,0.22727521353001276,5
58,13119,0.16419122418074633,0.20253593366084,4
59,13121,0.22816117582493867,0.30745066514035796,10
60,13123,0.10705856480078443,0.20145904609423318,5
61,13125,0.2241172223894322,0.36365772395672635,4
62,13127,0.23309244228154555,0.2872798564318517,4
63,13129,0.11743352406005017,0.19529886663189508,8
64,13131,0.20456784657150848,0.24216688376192763,3
65,13133,0.4111002707209988,0.6894523880706802,6
66,13135,0.2230106515065323,0.35036566861712476,8
67,13137,0.14106878181966195,0.22985282548625555,6
68,13139,0.17320608702101847,0.2647795010972416,9
69,13141,0.3140947855375372,0.6894523880706802,7
70,13143,0.11636551572676952,0.15228871942598862,3
71,13145,0.5598816143258196,0.7070680300036741,4
72,13147,0.18435217221480424,0.27472944271550903,3
73,13149,0.22573358114980033,0.31425201622031446,3
74,13151,0.2923488005405325,0.4028388111031682,6
75,13153,0.9424755511433239,1.7522709692092548,7
76,13155,0.30023564617250126,0.5246712507482516,5
77,13157,0.24117620114877836,0.3792677529306967,7
78,13159,0.3138832466118591,0.4594334270860605,6
79,13161,0.5179152833096722,0.7433524927097156,7
80,13163,0.6847267492279072,1.959037097376715,8
81,13165,0.7784184832037684,1.372115588620191,4
82,13167,1.1505283215166127,1.4516556618272944,6
83,13169,0.42051116182792764,0.7557988362110604,7
84,13171,0.249100460340313,0.33470768144966984,5
85,13173,0.2002204434706553,0.3091820835694902,5
86,13175,1.1087436525622216,2.1737436102233842,8
87,13177,0.4964564801237559,0.7401854089692206,5
88,13179,0.3689019934396291,0.5527212940714475,5
89,13181,0.3809779637642595,0.5344923821576981,4
90,13183,0.31326637236303967,0.5646453686729848,4
91,13185,0.23613641926129575,0.32169033669948033,5
92,13187,0.12338428355552374,0.21407154135328785,5
93,13189,0.3640876268395634,0.6110034178670517,6
94,13191,0.2570885204566452,0.34712694254502074,4
95,13193,0.7376641477839218,1.1576867496643228,7
96,13195,0.2271868837752508,0.3542250117101496,7
97,13197,0.70160290252396,0.9734474754306893,7
98,13199,0.41775601318055183,0.6383742864706944,7
99,13201,0.20940982670651276,0.30604605028537707,4
100,13205,0.2587455670089189,0.3578568671341691,7
101,13207,0.33884148591394386,0.613609542622558,7
102,13209,0.7276127189815209,1.4766305446680033,5
103,13211,0.3506005190875017,0.49084407842633304,6
104,13213,0.08970321445847491,0.12219888143332507,4
105,13215,0.6137225822228266,0.8258245890466458,3
106,13217,0.3181367635952049,0.4856412393513858,6
107,13219,0.3297977807342747,0.5092783457144756,7
108,13221,0.34635265210482363,0.726650460670354,7
109,13223,0.1364200751558796,0.1704215882987362,6
110,13225,0.6115439794750062,0.8948960759944896,5
111,13227,0.11579930982889239,0.17113046018808684,5
112,13229,0.25311058014903076,0.3004588520685621,5
113,13231,0.24203238772427121,0.2984746278320198,4
114,13233,0.09645701508244525,0.13388869433496176,4
115,13235,0.733503087413532,1.2085534973592855,5
116,13237,0.3613234485362091,0.49084407842633304,6
117,13239,0.3876107426611049,0.47382757210566223,3
118,13241,0.10827919052603821,0.171634828383412,2
119,13243,0.3741520776091179,0.6125820883451697,6
120,13245,0.32971546518875705,0.5482076878398136,4
121,13247,0.22761861379195278,0.2898952207718273,5
122,13249,0.6117057360105849,1.092018427816014,4
123,13251,0.9690592953692826,1.2458156609534803,4
124,13253,0.2448460984892764,0.4284877161668781,3
125,13255,0.33292839683480857,0.5752337568694255,8
126,13257,0.14470748520891327,0.22985282548625555,3
127,13259,0.495974662222815,0.68675580090948,5
128,13261,0.6440686731363363,0.9335422810163265,8
129,13263,0.6244256660093647,1.2349298687847514,7
130,13265,0.4665894864080534,0.726650460670354,5
131,13267,0.699568431080072,1.738578873818638,8
132,13269,0.5572516105950812,1.092018427816014,7
133,13271,0.5092442559792965,0.7216506509735522,6
134,13273,0.4325888892822176,0.6736991347913233,6
135,13275,0.21455818594665924,0.3578568671341691,4
136,13277,0.253979953721466,0.3967834076665135,6
137,13279,0.7436838594802697,1.5127088644979958,7
138,13281,0.13276406407194358,0.20694072049314677,4
139,13283,0.9064009754864327,1.4516556618272944,6
140,13285,0.4048596345996424,0.7070680300036741,4
141,13287,0.32780319731888136,0.5085164055280598,6
142,13289,1.0643094392321453,1.6956929426910168,6
143,13291,0.11140420965166951,0.1810969369272196,4
144,13293,0.3648301235387038,0.5375814880857377,7
145,13295,0.07638206669969635,0.1335974624543583,6
146,13297,0.277298863157641,0.4856624557594761,6
147,13299,0.3304677694207574,0.5567931678528916,7
148,13301,0.35232368580364376,0.9026984718076503,6
149,13303,0.4571355978604192,1.1977085667530378,6
150,13305,0.34657205496233157,0.7440027439414288,7
151,13307,0.4674093414190583,0.8685341189683352,5
152,13309,0.7388839055046866,1.344059825050129,6
153,13311,0.11788445302623267,0.14799850769569636,5
154,13313,0.0663070983962929,0.09602073608407982,4
155,13315,0.54226854124193,1.123161458177044,7
156,13317,0.4735390009977705,0.9026984718076503,6
157,13319,0.9877522758539283,2.1737436102233842,7
158,13321,0.37849392600811305,0.7370790906073874,7
