i,j,AreaKey_i,AreaKey_j,z_PctFB_i,z_PctBlack_i,z_PctRural_i,z_PctFB_j,z_PctBlack_j,z_PctRural_j,delta_PctFB,delta_PctBlack,delta_PctRural,coef_distance
0,2,13001,13005,-1.0622837585570692,1.2045828489215091,-1.639961638078706,-1.159337452980174,1.3713749389900542,-1.6252247706901786,0.09705369442310485,-0.16679209006854512,-0.01473686738852753,0.19353603326263077
0,79,13001,13161,-1.0622837585570692,1.2045828489215091,-1.639961638078706,-1.0263377264201938,1.322952657948511,-1.3266659224685693,-0.03594603213687542,-0.11836980902700178,-0.3132957156101368,0.33683487695774894
0,112,13001,13229,-1.0622837585570692,1.2045828489215091,-1.639961638078706,-1.221675728616347,1.3254403226286697,-1.8641561801980524,0.15939197005927785,-0.1208574737071606,0.2241945421193463,0.3004588520685621
0,131,13001,13267,-1.0622837585570692,1.2045828489215091,-1.639961638078706,-0.8414716826131724,0.6481264331378928,-1.5720902825427077,-0.22081207594389685,0.5564564157836164,-0.06787135553599843,0.6025016485053764
0,137,13001,13279,-1.0622837585570692,1.2045828489215091,-1.639961638078706,-0.7580011135315616,0.6301981493918197,-1.3009836041234222,-0.3042826450255076,0.5743846995296894,-0.3389780339552839,0.7330837732631382
0,150,13001,13305,-1.0622837585570692,1.2045828489215091,-1.639961638078706,-1.1484790907737352,1.1293572254176787,-2.049273118454351,0.08619533221666598,0.07522562350383044,0.409311480375645,0.4249993149344873
1,9,13003,13019,-1.3281219166243228,1.645370443213813,-1.4004243955424378,-1.3830206929281492,1.6930839995899096,-1.0923423477352086,0.054898776303826446,-0.047713556376096644,-0.30808204780722925,0.31655174503200645
1,31,13003,13065,-1.3281219166243228,1.645370443213813,-1.4004243955424378,-1.4274794186207425,1.6344136023451323,-1.6290587701216845,0.09935750199641968,0.01095684086868065,0.22863437457924674,0.24953084539598192
1,33,13003,13069,-1.3281219166243228,1.645370443213813,-1.4004243955424378,-1.2484185530694853,1.629834727838828,-1.2953182380953907,-0.07970336355483743,0.015535715374984882,-0.1051061574470471,0.13282051403096806
1,85,13003,13173,-1.3281219166243228,1.645370443213813,-1.4004243955424378,-1.4337233145988102,1.6809420083987483,-1.323461515563506,0.10560139797448742,-0.035571565184935316,-0.0769628799789317,0.13542627661766243
1,147,13003,13299,-1.3281219166243228,1.645370443213813,-1.4004243955424378,-1.3513011165760374,1.5112410940030905,-1.829517975934725,0.02317919995171458,0.1341293492107225,0.4290935803922873,0.450165812078134
2,33,13005,13069,-1.159337452980174,1.3713749389900542,-1.6252247706901786,-1.2484185530694853,1.629834727838828,-1.2953182380953907,0.08908110008931125,-0.25845978884877385,-0.32990653259478786,0.4284567948972107
2,79,13005,13161,-1.159337452980174,1.3713749389900542,-1.6252247706901786,-1.0263377264201938,1.322952657948511,-1.3266659224685693,-0.13299972655998027,0.048422281041543336,-0.2985588482216093,0.3304103969576467
2,112,13005,13229,-1.159337452980174,1.3713749389900542,-1.6252247706901786,-1.221675728616347,1.3254403226286697,-1.8641561801980524,0.062338275636173,0.04593461636138452,0.23893140950787384,0.2511658178155984
2,147,13005,13299,-1.159337452980174,1.3713749389900542,-1.6252247706901786,-1.3513011165760374,1.5112410940030905,-1.829517975934725,0.19196366359586325,-0.13986615501303623,0.20429320524454653,0.3132862958515212
3,18,13007,13037,-1.3885835570999845,1.122366381216472,-0.5156587067243074,-1.2830648344216806,0.6952185132008095,-0.57429797463988,-0.10551872267830387,0.4271478680156624,0.05863926791557261,0.44387843575427366
3,42,13007,13087,-1.3885835570999845,1.122366381216472,-0.5156587067243074,-1.4724466547994997,1.3354067495051078,-0.6875410600746252,0.08386309769951517,-0.21304036828863593,0.17188235335031787,0.2862913918886832
3,46,13007,13095,-1.3885835570999845,1.122366381216472,-0.5156587067243074,-1.3156314121567318,1.1140145454863664,-0.46873651848467895,-0.07295214494325264,0.008351835730105561,-0.046922188239628404,0.08714046339720218
3,48,13007,13099,-1.3885835570999845,1.122366381216472,-0.5156587067243074,-1.352712855457022,0.7831657513288703,-0.6533566694375215,-0.035870701642962466,0.3392006298876016,0.1376979627132141,0.36783760477671906
3,99,13007,13201,-1.3885835570999845,1.122366381216472,-0.5156587067243074,-1.442828195186864,1.064414597885596,-0.5730915041965144,0.054244638086879515,0.05795178333087603,0.05743279747220709,0.09797661036129438
3,100,13007,13205,-1.3885835570999845,1.122366381216472,-0.5156587067243074,-1.432503228501713,1.4108258923156214,-0.623180768446047,0.04391967140172848,-0.28845951109914947,0.10752206172173961,0.31096434013643703
4,69,13009,13141,1.0519082690902604,-1.532665217242073,1.495363628447672,1.1292857697003944,-1.5051964613122164,1.3113897192751556,-0.07737750061013404,-0.027468755929856536,0.18397390917251633,0.20146515681184826
4,83,13009,13169,1.0519082690902604,-1.532665217242073,1.495363628447672,0.8653688610054362,-1.5379340405450348,1.2831008176489693,0.18653940808482417,0.005268823302961856,0.21226281079870257,0.28263087608362997
4,116,13009,13237,1.0519082690902604,-1.532665217242073,1.495363628447672,1.056275895647256,-1.4513287802360328,1.0682366491857536,-0.00436762655699563,-0.0813364370060401,0.42712697926191834,0.4348242731954946
4,149,13009,13303,1.0519082690902604,-1.532665217242073,1.495363628447672,0.9035898126657965,-1.1848673088666153,1.254783054455673,0.14831845642446384,-0.34779790837545765,0.24058057399199884,0.44815261035589027
4,157,13009,13319,1.0519082690902604,-1.532665217242073,1.495363628447672,0.8336933080459936,-1.1603550318941214,1.2966945899632234,0.21821496104426674,-0.37231018534795157,0.1986690384844485,0.47508107749068706
5,58,13011,13119,1.04067306474516,-0.4918147448063496,0.44024132384436315,1.0225400728623295,-0.6104091407585364,0.2995509634736081,0.018132991882830574,0.11859439595218674,0.14069036037075505,0.1848978465183945
5,67,13011,13137,1.04067306474516,-0.4918147448063496,0.44024132384436315,1.0544108360169535,-0.37434534034421113,0.4938422075401657,-0.01373777127179343,-0.1174694044621385,-0.05360088369580257,0.12984930526258717
5,68,13011,13139,1.04067306474516,-0.4918147448063496,0.44024132384436315,1.045316267710357,-0.38325607232261516,0.585930967971111,-0.004643202965196824,-0.10855867248373446,-0.14568964412674784,0.1817471240789938
5,77,13011,13157,1.04067306474516,-0.4918147448063496,0.44024132384436315,1.0306861608528337,-0.5889670452323906,0.41986730608460665,0.009986903892326371,0.097152300426041,0.020374017759756502,0.09976676965353326
5,96,13011,13195,1.04067306474516,-0.4918147448063496,0.44024132384436315,1.0047113241544225,-0.7870408026202773,0.2478259218558852,0.035961740590737534,0.2952260578139277,0.19241540198847795,0.3542250117101496
5,126,13011,13257,1.04067306474516,-0.4918147448063496,0.44024132384436315,1.0325228004946685,-0.5313392005684413,0.32739052344869995,0.00815026425049159,0.03952445576209168,0.1128508003956632,0.11984954134490546
6,28,13013,13059,1.0210511068809804,-0.5900225935697144,0.5107613355199015,1.007593281673753,-0.8533786742163147,0.29907513584567164,0.013457825207227492,0.2633560806466003,0.2116861996742299,0.338154676746256
6,66,13013,13135,1.0210511068809804,-0.5900225935697144,0.5107613355199015,1.0244102936512411,-0.43395499518742153,0.6740161337600649,-0.0033591867702607026,-0.1560675983822929,-0.1632547982401633,0.22587719793952332
