AreaKey,true_regime,initial_regime,refined_regime,true_Intercept,gwr_Intercept,mgwr_Intercept,grgwr_Intercept,oracle_Intercept,true_X1,gwr_X1,mgwr_X1,grgwr_X1,oracle_X1,true_X2,gwr_X2,mgwr_X2,grgwr_X2,oracle_X2,true_X3,gwr_X3,mgwr_X3,grgwr_X3,oracle_X3
13001,4,3,3,0.11217060298792843,0.09409693392517038,0.08882598111611942,0.15179116635471687,0.13683152788996752,-0.23779100921419635,-0.23330346271318922,-0.35388286311815437,-0.3410838449189081,-0.3519239939354445,-0.40718882443864846,-0.5673449145001953,-0.5984222083628383,-0.6026041437965787,-0.5921769687199144,0.5933206813156066,0.6317441116102329,0.5906944295860737,0.6915521384104623,0.6822492067808791
13003,4,3,3,0.15203923252463053,0.050007474444092925,0.08920975820302976,0.1641811054948979,0.15937427897279954,-0.18424756682543542,-0.03888795420799259,-0.10780797263647288,-0.37075624559301434,-0.37115552231269755,-0.44258365506248576,-0.5018641990262064,-0.6209556298452241,-0.5872399009248597,-0.5890428846974928,0.5976203600312701,0.6178753313692005,0.5045477904368736,0.7468393380175518,0.7430772520122347
13005,4,3,3,0.12584656766338062,0.08312997395037303,0.08867269545954065,0.15036956614291186,0.13920745551961242,-0.21965270974693377,-0.21301909671761712,-0.36488589984393066,-0.35912894998010314,-0.36264388820639376,-0.4175563662886666,-0.5664010892885037,-0.6533864894280752,-0.6022232282171643,-0.5920284048061903,0.5913877723906179,0.6678583770122221,0.6532565325103559,0.7256492985818187,0.7090149323577646
13007,1,2,2,0.1549156436836563,0.20226745318991304,0.09632182874948374,0.1352007072705816,0.13666927169623014,0.9259432724240094,0.7564411814995716,0.7532872992991761,0.8429081242811044,0.8439697027238036,-0.5313216442241424,-0.5099127260628328,-0.5794876614193003,-0.5838220588022971,-0.5844262407539026,0.28028703304948255,0.2743645904496552,0.35551488305830314,0.282298959214343,0.28084620480921196
13009,3,1,1,0.09314781982580658,0.022551670667338784,0.09200932826084285,-0.18389251448800908,0.2458136890473994,0.15102209964209856,0.138032575492402,0.32831454482518063,-0.4565712878892278,0.23863725906489813,-0.0006950117172464633,0.1434660792466376,0.36497554344265154,0.4941721251967653,0.09153554621577566,-0.7041419695736666,-0.06293368459049538,-0.008438856645938596,0.15032888410538855,-0.5767276252017325
13011,2,4,1,-0.09030488127757307,0.09187752732339065,0.04311214311465386,-0.09413242294491145,-0.013139863321583206,-0.8221202182944847,-0.5330454938295601,-0.44463843601285913,-0.7184871648886789,-0.7825249501460583,0.6515612111039975,0.5158629994520455,0.5655015705960648,0.5506114198785282,0.5809682184556791,0.32123381983609395,-0.10269520555755743,-0.29520995524158655,0.30890334501807554,0.25405456350299327
13013,2,4,1,-0.07034745819180048,0.11915287483974715,0.0480186821406326,-0.10318597337987978,-0.01814323905902992,-0.7946733662122302,-0.4636927194262729,-0.5520727067759259,-0.6712844743943669,-0.7404291117641384,0.6609142773897513,0.4956017332703233,0.6456855755249813,0.5309962335869725,0.5527682165188468,0.31652499405056306,-0.14266131753004493,-0.4695955479522318,0.29595832048287074,0.250815528840052
13015,2,1,1,-0.02769725727405895,-0.05221656649011633,0.03838745545871018,-0.1167328392318116,-0.06894744092755327,-0.7338083556040516,-0.7609770282438068,-0.8749228120394765,-0.7119979611116567,-0.7981434721741633,0.6135646009317104,0.44040360240288273,0.5452199753256651,0.5108562970503582,0.46644968156694744,0.36518535598757834,0.2519314771944923,0.4053750848247484,0.30800931379214813,0.32148157312496184
13017,4,2,3,0.13162224952896723,0.25839442138714463,0.09391050555600547,0.21238399077468786,0.1969626765514673,-0.20901521261667366,0.13206349635737502,-0.0654917821832678,-0.3178548242260905,-0.32182135348647106,-0.43621908047045455,-0.4016183181464742,-0.40573233338138426,-0.5612871011636344,-0.5690510871855043,0.6304443006467111,0.5417039574915365,0.5906730407298675,0.6702525005427348,0.660767425187178
13019,4,2,3,0.16019500235330214,0.11711901954901874,0.09075181745536122,0.18144243939933252,0.17516916296051593,-0.17224745080358275,0.20696939696537195,0.2619412090314793,-0.35796909804193144,-0.3584058634012085,-0.45791763748179104,-0.4047983473230478,-0.5265753738163174,-0.569725111289042,-0.5734307219124277,0.6140976339177989,0.4816472053910184,0.39619527561109324,0.7241080037874401,0.7194671365617692
