AreaKey,initial_regime,final_regime,regime_changed,fitted_z,residual_z,regime_local_k,Intercept,PctFB,PctBlack,PctRural
13001,6,6,False,-0.57958725626473,0.09585301351566083,17,-0.38002844217128545,0.0005587687583024394,0.2683112369120507,-0.4815813602830049
13003,6,6,False,-0.8128668732915579,0.012180386323662029,17,-0.46347225622799476,0.19658619483286102,0.1366615963708332,-0.37757082528050745
13005,6,6,False,-0.5261969280367603,-0.2392726429068216,17,-0.46254445904738006,0.03935643383863452,0.20931740561928747,-0.34558995038108725
13007,2,2,False,-0.422301920619068,0.14986917401588373,19,-0.3880709157354921,0.03886876857552968,0.08170596560530327,-0.10553756766221493
13009,5,5,False,0.4785919706507743,-0.06429485477983349,17,-0.000383349277720324,0.03489629037105708,-0.09393384178455212,-0.5424574225155098
13011,1,1,False,-0.4867414398762806,-0.3139450470916153,62,0.2807556997387901,0.7027786929316139,-0.02882985178285777,-0.3226114392826242
13013,1,1,False,0.27322353325696846,-0.5808731958844671,62,0.2700349108933121,0.7182192715281592,-0.06838274629467697,-0.3063296648924535
13015,1,1,False,-0.1235004769496644,-0.21936610170214818,62,0.1120986218048119,0.7865540641204296,-0.012346850424993339,-0.26896031904739837
13017,2,2,False,-0.4505948926554254,-0.13879009816658594,19,-0.41112564075331626,0.3700364904985127,0.1621616683344473,-0.19139725697357707
13019,2,2,False,-0.5435747985691398,-0.06341865026502858,19,-0.4673109642738659,0.3241811051764745,0.1637899466837117,-0.3892540602006406
13021,5,3,True,1.0656572638910733,0.00015279842967830248,6,-0.33897367395918915,0.90143171991297,0.47883112716575543,-0.5304180588496071
13023,3,4,True,-0.05309910225015278,-0.06085752224361797,38,-0.06798319726918514,0.3008448659496164,-0.0339115144120829,-0.27481895755169244
13025,6,6,False,-1.2333851089912073,0.32704787395036905,17,-0.18478053176186982,0.09832185334748386,0.23932212897428462,-0.6065927634590299
13027,2,2,False,-0.18130571536909088,-0.14395240527056472,19,-0.5282730952646889,0.17124329722240594,0.17870882556400458,-0.6747925912217442
13029,6,4,True,-0.3152564088164058,0.4654266545049909,38,0.15115488124311194,0.7365477692561438,-0.02386617905525823,-0.19860258180097257
13031,4,4,False,0.19366267763009334,1.3827926670432127,38,0.12253644791163046,0.6797767610139138,-0.032821384617538224,-0.20307167574485666
13033,5,4,True,-0.3458799941071067,0.10866416352823635,38,0.07117464851778756,0.5630783318335466,-0.055765454431264044,-0.21541496485741454
13035,5,1,True,-0.11473581943193373,-0.5450830034387057,62,0.22615439618450922,0.8443232512719163,-0.08918517329247626,-0.14763385006891966
13037,4,4,False,-0.6287188635219195,0.47954532300383446,38,-0.0510198944413606,0.2313556964507159,-0.028954852189360697,-0.30030064578166865
13039,6,6,False,0.3615508174322566,0.08796321446299821,17,-0.12719796371680672,0.03128921424205941,0.24705796833973917,-0.6622885256593971
13043,4,4,False,0.14262486504372118,-0.32701532158612023,38,0.10054603419829139,0.6392189314878515,-0.030959439754077916,-0.20496522404710402
13045,1,1,False,-0.020494635012486134,0.20588179672538515,62,0.15426649869929915,0.8627641331287731,-0.01707079680983009,-0.16553991581446628
13047,1,1,False,-0.12967916240941546,-0.37166353835181065,62,0.144330648706398,0.769245652781644,0.04194657093883103,-0.25683142704555845
13049,6,6,False,-1.0065600951714184,0.20587360820352252,17,-0.2147451426270902,0.31467381841193365,0.1837409990490474,-0.5495189442362303
13051,6,4,True,1.1863766886324747,0.1611687018827901,38,0.16333986034471487,0.7584004920659866,-0.027992013917854053,-0.19706283379061668
13053,3,4,True,1.6299790778328829,-0.000698359123105563,38,-0.05921324562496244,0.23488105308049803,-0.034072819091040346,-0.29997815282602663
13055,1,1,False,-0.6470929281413592,-0.24163584888732192,62,0.10673670320402978,0.8027757951702286,0.020720355585419514,-0.24772982972318908
13057,1,1,False,0.6014202077260479,0.7109082667649024,62,0.18421848448207206,0.7466988988490255,-0.01249339976679914,-0.2898288016492442
13059,1,1,False,2.8238087013351505,1.8517352534777967,62,0.27194427506014673,0.7302681410818902,-0.0741407564794079,-0.29203617430981077
13061,4,4,False,-0.5679895414537586,0.612509039069401,38,-0.04993318816297557,0.22977867712985162,-0.030943096401692363,-0.3002826740675723
13063,1,1,False,2.7192237238095207,-2.0584081957683815,62,0.20298644812307018,0.8482781501568926,-0.08033051754956427,-0.15058535402703388
13065,6,6,False,-0.4187898079607601,-0.32907130497066467,17,-0.34948578453518464,0.3311636377329027,0.15327714737994175,-0.48056689545101006
13067,1,1,False,2.7185977459007264,1.1645655983651535,62,0.1490661820826658,0.7964841831233485,-0.052553302960989534,-0.24531216970238448
13069,6,2,True,-0.2870182248368578,0.31392926444034325,19,-0.4420790325739093,0.3562910714795786,0.15435825996717364,-0.3317827790960507
13071,2,2,False,0.0027147160259609615,-0.169496714556203,19,-0.48218783286803957,0.2657807018577141,0.21215580660087136,-0.29893556498304263
13073,5,5,False,1.8136259130263226,0.46716775213326533,17,0.12241808674628052,0.49496461564909716,-0.17128609213272195,-0.3966005842252815
13075,2,2,False,-0.15622644388725937,-0.6268515850684795,19,-0.4996483282542808,0.27934276016515425,0.17471820601072763,-0.48127776953360213
13077,1,1,False,-0.07537455058492745,0.48967166645586824,62,0.17630296032382625,0.874481732116417,-0.04728269992515999,-0.1360740344937838
13079,5,3,True,-0.8454410516176608,-0.07850464143533453,6,-0.2673254081277383,0.7211159927829317,0.3884641585993587,-0.5258545583861165
13081,4,4,False,-0.011329908598736532,-0.1554520899315055,38,-0.0635165174084487,0.25061972918281983,-0.023403377952211396,-0.2965899753863327
13083,1,1,False,-0.44183343882302734,-0.07711771995035571,62,0.0955577624993893,0.7918044288783823,0.02974412074828614,-0.25258422815742143
13085,1,1,False,-0.410549968801467,-0.002750441898973832,62,0.2425641484649837,0.7237772615626827,0.004636774830913237,-0.2971889298616112
13087,2,2,False,-0.22405978269331397,0.35662157036974174,19,-0.3488280624681654,-0.008684639611431368,0.06749267220255846,-0.17878370848857061
13089,1,1,False,4.282198462131723,-0.4518604919023139,62,0.21514449643797207,0.8002653676217097,-0.07722013296249047,-0.20895056371989848
13091,4,4,False,-0.2856696520195855,-0.23328150675379755,38,-0.053305705375836815,0.3540631704418562,-0.00964918737276925,-0.25645423183715466
13093,4,4,False,-0.2572735469573448,0.002449258366317486,38,-0.06642762662372191,0.25123229224708554,-0.028609661103112805,-0.29628474567809493
13095,2,4,True,0.544907895649849,0.5209021666709026,38,-0.05376866738765179,0.23554862559900364,-0.025113979727521996,-0.2999427887339107
13097,1,1,False,0.6383596276870124,-0.45297246597411334,62,0.15722337004233283,0.843344493027439,-0.03614146768102672,-0.18451617890671168
13099,4,2,True,-0.23319550190303068,-0.039237244700153606,19,-0.37730630718858116,0.003663262339988878,0.07434861749148332,-0.11675629619436785
13101,6,6,False,-0.9000512449030647,-0.19997902827150127,17,-0.33861019333723974,0.3421723710605866,0.16833998677166367,-0.4940337930296901
13103,4,4,False,-0.22889786393542225,-0.3604871268865891,38,0.14244206579925137,0.7168352014119381,-0.03372937847793023,-0.2009823463502013
13105,1,1,False,0.11715844593009447,-0.6361096047034775,62,0.29254175795230186,0.7058912625069127,-0.07207674808953496,-0.3263288123235878
13107,3,4,True,-0.23231327295055126,-0.09294484768910433,38,0.0698018624106531,0.5757054110897618,-0.03888596346554116,-0.20959290091851845
13109,4,4,False,-0.4700692773671765,0.056768866666735696,38,0.12438221839359592,0.6870532709532983,-0.023082407673216954,-0.20184273014815673
13111,1,1,False,-0.4777383713838457,-0.07642970341385158,62,0.23347511723798686,0.7338147060459399,0.051515383921740154,-0.273308504137596
13113,1,1,False,1.5757719171870668,1.0395824502035058,62,0.1929447836929174,0.867712741458316,-0.07250076270883304,-0.13183400102004078
13115,1,1,False,0.378637729853757,0.10609321806581179,62,0.11673970840725606,0.8118366672861006,0.014590623020576954,-0.23830897689601788
13117,1,1,False,0.037465030818403355,0.7818266193321495,62,0.23877265417431878,0.7229714064225858,-0.025715246043867768,-0.3040923625476892
13119,1,1,False,-0.2736684194465097,0.01884413085548242,62,0.28956071621894336,0.6981104354762482,-0.035719144995720487,-0.32983016399955034
13121,1,1,False,2.561340552225447,1.0753043798702344,62,0.179295768652719,0.8287898986048052,-0.07149610481723401,-0.1876223018147107
13123,1,1,False,-0.5574533690776021,0.1441529583771613,62,0.2178996025948149,0.738344197149754,0.03995277378827217,-0.27604352860364884
13125,5,5,False,-0.7535779022561027,-0.24080162284552087,17,-0.006217607294201136,0.4145621112976472,-0.061512121496294835,-0.5076122629528825
13127,6,6,False,1.0537085590382609,0.5227467856350452,17,-0.16330277229775852,-0.1005083652013328,0.27716601845861705,-0.6854546990008435
13129,1,1,False,-0.2871687071663408,-0.0204809554611578,62,0.13505737420325437,0.7707380999600144,0.01474460528752386,-0.2695151700542785
13131,2,2,False,-0.21107822009600652,-0.36069831271384767,19,-0.3497622598656216,0.004762049462960681,0.07689066596655339,-0.22293339269052476
13133,5,5,False,-0.33552518835072653,-0.04255830632540003,17,0.03299995167858924,0.2960311625181524,-0.08298580125901912,-0.5342960295400097
