delta,noise_sigma,response_sd_raw,gwr_bandwidth,mgwr_bandwidths,mgwr_error,initial_ari,refined_ari,initial_boundary_f1,refined_boundary_f1,refined_boundary_precision,refined_boundary_recall,refined_boundary_edges,refinement_iterations,refinement_stop_reason,gwr_rmse,mgwr_rmse,grgwr_rmse,oracle_grgwr_rmse,gr_minus_gwr_rmse,gr_vs_gwr_rmse_improvement_pct,gr_minus_mgwr_rmse,gr_vs_mgwr_rmse_improvement_pct,gwr_beta_rmse,mgwr_beta_rmse,grgwr_beta_rmse,oracle_beta_rmse,gwr_jump_recovery,mgwr_jump_recovery,grgwr_jump_recovery,oracle_jump_recovery
0.0,0.35,0.48937809961874873,624,624;624;624;624,,0.6307138692050293,0.645608986150999,0.10389610389610389,0.08035714285714285,0.08108108108108109,0.07964601769911504,111,3,no_label_changes,0.7380707477189739,0.7379736551316645,0.7296832476509255,0.7315272806821156,-0.008387500068048337,1.1364086835808243,-0.008290407480738948,1.1234015500539551,0.019589909836145444,0.01998116876825287,0.045355890514738866,0.04227201551199964,,,,
0.5,0.35,0.8990764314981446,88,624;60;60;49,,0.763355526149724,0.8477685037637027,0.26865671641791045,0.617100371747212,0.532051282051282,0.7345132743362832,156,3,no_label_changes,0.4192375186371653,0.40244199898225363,0.41598633275225017,0.3981790845556421,-0.003251185884915131,0.7754997442700049,0.01354433376999653,-3.3655368486015775,0.16651868069044914,0.15459864896173764,0.14552922371782698,0.02300916573226771,0.20342146673339156,0.23973282584617395,0.7933886464291664,1.013738590416506
1.0,0.35,1.518990884398145,60,317;36;44;37,,0.8636991524188528,0.9960642987856088,0.6188679245283019,0.9779735682819383,0.9736842105263158,0.9823008849557522,114,10,no_label_changes,0.29377136228808076,0.2650834056291574,0.23331559329984278,0.23567845871657683,-0.060455768988237985,20.579190741183716,-0.03176781232931461,11.984081860543428,0.17561574530078305,0.1593586247175417,0.04163805634850161,0.013618908994646966,0.25251267349796763,0.2909901683914025,0.9867297409005249,1.0068692952082527
1.5,0.35,2.17634453982225,56,261;29;37;25,,0.698959797088652,0.9128754632946948,0.18181818181818182,0.7593984962406014,0.6601307189542484,0.8938053097345132,153,4,no_label_changes,0.2573674636692971,0.2112392193642882,0.1898504368166643,0.16449299450937277,-0.06751702685263278,26.233707202161504,-0.021388782547623886,10.125384202797258,0.17789269093707596,0.15928287597131852,0.1443249793919517,0.009505387699323666,0.26080230594369846,0.3190730837670284,0.9223853701773104,1.0045795301388354
2.0,0.35,2.8453058143306533,54,220;29;37;21,,0.6900450768059081,1.0,0.0,1.0,1.0,1.0,113,14,no_label_changes,0.2433661563254941,0.18347573466442066,0.12581896421692768,0.12581896421692768,-0.11754719210856643,48.300550036772975,-0.05765677044749298,31.424738836962778,0.179315872498005,0.16566105559855032,0.007270571238467456,0.007270571238467456,0.26262966179341,0.3532911715918418,1.0034346476041265,1.0034346476041265
0.0,0.75,0.840990978980929,624,624;624;624;624,,0.6307138692050293,0.6324251982934134,0.10389610389610389,0.07894736842105263,0.0782608695652174,0.07964601769911504,115,5,no_label_changes,0.9203317504425704,0.9202106815733468,0.9080001782314867,0.9121724235885977,-0.012331572211083719,1.3399051162967806,-0.012210503341860135,1.3269247560768374,0.024427490272757202,0.02491536764626859,0.05978567074021179,0.052710770818554686,,,,
0.5,0.75,1.132278659912899,137,624;136;135;89,,0.7512493775620289,0.8931487366163393,0.23236514522821577,0.5236051502145923,0.5083333333333333,0.5398230088495575,120,5,no_label_changes,0.6784462806171309,0.6774651843019918,0.6732960189342951,0.6775088206397823,-0.005150261682835722,0.759125936713946,-0.004169165367696626,0.6154065868332723,0.15432067938895508,0.15250757684601451,0.11855238126490905,0.03915050625165516,0.15267699582575953,0.17120983564813222,0.5898269587640534,1.0294398366067983
1.0,0.75,1.6694284868125497,88,624;60;60;57,,0.8290499150587793,0.8774642994683576,0.4312267657992565,0.6962962962962963,0.5987261146496815,0.831858407079646,157,2,no_label_changes,0.47643143268321636,0.46117498198502666,0.45195313915341584,0.4595158076988763,-0.02447829352980052,5.137841848918554,-0.009221842831610816,1.9996407419841842,0.1810018287802846,0.16895826968115774,0.15469682156379438,0.02655356794478442,0.20370768236334816,0.23589472560594552,0.8691792965816104,1.014719918303399
1.5,0.75,2.2851860653759837,60,388;42;60;37,,0.8032275012733465,0.9175447800252375,0.32209737827715357,0.7293233082706766,0.6339869281045751,0.8584070796460177,153,5,no_label_changes,0.36020300322395216,0.34813382429864576,0.3361942617387068,0.3356964192703342,-0.024008741485245344,6.665336288248041,-0.011939562559938943,3.42958992393012,0.18134124548575295,0.17206670321891548,0.13670742081387094,0.019398544138348815,0.25274694380930574,0.2750518405411333,0.8917100170667225,1.0098132788689327
2.0,0.75,2.9304106548598514,60,349;36;44;37,,0.821786574124919,0.918767225577871,0.4377358490566038,0.7924528301886792,0.6907894736842105,0.9292035398230089,152,4,no_label_changes,0.31538610608180023,0.2865914619182882,0.27075917822717416,0.261782005959117,-0.044626927854626075,14.149934633788655,-0.015832283691114057,5.524338926617463,0.18302190249612663,0.1667325499652862,0.13153805586137005,0.015127327864447636,0.2525504344566658,0.29088401395362473,0.9697064050498141,1.0073599591516993
